YEAR,FIRE NAME,UNIT,AGENCY,CAUSE,OBJECTIVE,REPORT ACRES,GIS ACRES,COMMENTS
2014,FRYING PAN,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"133,284","133,177",Happy Camp Cpx #5956; Merged Delta/Faulkstein/Man
2014,KING,Eldorado National Forest,USDA Forest Service,Arson,Suppression (Wildfire),"97,717","97,685",
2014,BALD,Lassen National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"39,751","39,752",
2014,WHITES,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"33,758","33,794",July Complex #5564
2014,BEAVER,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"32,496","32,493",Merged with Cleghorn #5496
2014,EILER,Lassen National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"47,958","31,995",
2014,COLEMAN,Northern CA District - BLM,Bureau of Land Management,Lightning,Suppression (Wildfire),"15,233","15,243",<Null>
2014,FRENCH,Sierra National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),"13,837","13,832",<Null>
2014,DAY,Lassen - Modoc CDF,California Department of Forestry and Fire Protection,Lightning,Suppression (Wildfire),"13,153","13,151",
2014,BULLY,Shasta - Trinity CDF,California Department of Forestry and Fire Protection,Vehicle,Suppression (Wildfire),"12,661","12,659",
2014,LODGE,Mendocino CDF,California Department of Forestry and Fire Protection,Lightning,Suppression (Wildfire),"12,536","12,533",
2014,MONTICELLO,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"6,599",
2014,COFFEE,Shasta-Trinity National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"6,251","6,182",<Null>
2014,LITTLE DEER,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"5,498","5,500",<Null>
2014,BUTTS,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"4,297",FIMT  H6UW
2014,SAND,Amador - El Dorado CDF,California Department of Forestry and Fire Protection,Vehicle,Suppression (Wildfire),"4,240","4,239",
2014,WAY,Kern County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"3,882",COUNTY #1427597 fed # 003148
2014,LOG,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"3,632","3,637",July Complex #5564
2014,SHIRLEY,Sequoia National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"2,545","2,546",COUNTY #1418812
2014,COCOS,San Diego CDF,Local Response Area,Unknown / Unidentified,Suppression (Wildfire),"2,000","1,995",<Null>
2014,COLBY,Angeles National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),"1,980","1,952",LAC #014099
2014,NICOLLS,Sequoia National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"1,680","1,679",<Null>
2014,SODA,Sequoia National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"1,435","1,423",
2014,GULCH,Modoc National Forest,USDA Forest Service,Railroad,Suppression (Wildfire),"1,396","1,397",Merged with GULCH2 #0358
2014,GULCH,Shasta - Trinity CDF,California Department of Forestry and Fire Protection,Vehicle,Suppression (Wildfire),"1,374","1,375",
2014,BERNARDO,San Diego CDF,Local Response Area,Equipment Use,Suppression (Wildfire),"1,548","1,331",<Null>
2014,MALT,Northern CA District - BLM,Bureau of Land Management,Lightning,Suppression (Wildfire),"1,054","1,063",
2014,SILVERADO,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),959,959,<Null>
2014,CAMPBELL,Lassen National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),865,865,<Null>
2014,HUNTER FIRE,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,691,
2014,DALTON,Modoc National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),641,641,<Null>
2014,MIGUELITO,Santa Barbara County,Contract County,Powerline,Suppression (Wildfire),632,632,tree branches blown into power lines
2014,JUNCTION FIRE,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,612,
2014,BOLES,City of Weed Vol. Fire Dept.,Local Response Area,Arson,Suppression (Wildfire),495,516,City of Weed
2014,OREGON,Shasta - Trinity CDF,California Department of Forestry and Fire Protection,Vehicle,Suppression (Wildfire),461,461,
2014,APPLEGATE,Nevada - Yuba - Placer CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),459,459,6 Res Destroyed 4 Outbuilding Destroyed
2014,DOBIE,Modoc National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),456,456,<Null>
2014,HIGHWAY,San Diego CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),438,441,<Null>
2014,BLACK,Mendocino CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),403,403,
2014,WEB,Butte CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),389,378,
2014,POINSETTIA,San Diego CDF,Local Response Area,Unknown / Unidentified,Suppression (Wildfire),600,377,<Null>
2014,31,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,368,
2014,NELSON,Butte CDF,Local Response Area,Powerline,Suppression (Wildfire),500,336,
2014,RED,Humboldt - Del Norte CDF,California Department of Forestry and Fire Protection,Debris,Suppression (Wildfire),0,332,
2014,COURTNEY FIRE,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Debris,Suppression (Wildfire),0,291,
2014,GUN,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),270,270,<Null>
2014,BRIDGE FIRE,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Vehicle,Suppression (Wildfire),0,270,
2014,TECOLOTE,Angeles National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),295,269,<Null>
2014,TRACT 17,Sacramento National Wildlife Refuge,USDI Fish and Wildlife Service,Escaped Prescribed Burn,Suppression (Wildfire),252,252,UNIT ID: SWR  fire num? JEU5
2014,DOGBAR,Nevada - Yuba - Placer CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),155,248,2 Res Destroyed 3 Outbuildings Destroyed
2014,SCHOOL,Bitter Creek National Wildlife Refuge,USDI Fish and Wildlife Service,Miscellaneous,Suppression (Wildfire),224,224,UNIT ID: BRR fire num?  H3WP
2014,BALD HILL 3,Hoopa Valley Tribe,USDI Bureau of Indian Affairs,Vehicle,Suppression (Wildfire),255,210,IR heat perimeter
2014,ENCINAL,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Escaped Prescribed Burn,Suppression (Wildfire),200,190,
2014,SHOEMAKER,Angeles National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),190,190,<Null>
2014,BANNER,San Diego CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),217,178,
2014,KEMPER,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),185,173,Happy Camp Complex #5956
2014,RIVER,San Diego CDF,Local Response Area,Unknown / Unidentified,Suppression (Wildfire),0,168,
2014,NORTHERN,Modoc National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),117,117,<Null>
2014,PINE  FIRE,Los Angeles County,Contract County,Vehicle,Suppression (Wildfire),109,117,"dead person at fire, telecom vehicle started fire"
2014,CORCORAN,Kern National Wildlife Refuge,USDI Fish and Wildlife Service,Unknown / Unidentified,Suppression (Wildfire),117,117,UNIT ID: KRR   JCS5
2014,BRIDGES,San Bernardino CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),113,113,
2014,HAIGH FIRE,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Debris,Suppression (Wildfire),0,111,
2014,BREWER,Nevada - Yuba - Placer CDF,California Department of Forestry and Fire Protection,Vehicle,Suppression (Wildfire),120,104,Fed inc# 21381
2014,LAKE,Fresno-Kings CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),106,102,
2014,LITTLE,Modoc National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),101,101,<Null>
2013,RIM,Stanislaus National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),"255,858","256,176",2013-CAYNP-0126 Suppressed Human Caused
2013,POWERHOUSE,Angeles National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"30,268","30,268",Contract County #129377
2013,MOUNTAIN,San Bernardino National Forest,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),"27,505","27,524",CAL FIRE # 000057
2013,AMERICAN,Tahoe National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"27,740","27,431",
2013,SPRINGS,Ventura County,Contract County,Unknown / Unidentified,Suppression (Wildfire),"24,251","24,060",2013-CASMP-416  Ventura Co 13-25314
2013,ASPEN,Sierra National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"22,992","22,938",
2013,BUTLER,Six Rivers National Forest,USDA Forest Service,Arson,Suppression (Wildfire),"22,445","22,445",Salmon Complex & Butler became Forks Complex
2013,SILVER,Riverside CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),"19,907","20,309",USFS# 000081
2013,SALMON COMPLEX,Klamath National Forest,USDA Forest Service,Arson,Suppression (Wildfire),"14,785","14,786","Shelly & Boulder became Salmon Complex, then with Butler became Forks Complex"
2013,SPRING PEAK,Humbolt-Toiyabe National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),0,"14,267",inciweb # 3668
2013,CORRAL,Six Rivers National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"12,531","12,541",
2013,DEER,Tehama - Glenn CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),"11,429","11,429",
2013,CLOVER,Shasta - Trinity CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),"8,073","8,076",
2013,CHARIOT,San Diego CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),"7,055","7,085",USFS # 000042
2013,PANTHER,Butte CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),"6,896","6,896",
2013,RED ROCK,Carson City District - BLM,Bureau of Land Management,Unknown / Unidentified,Suppression (Wildfire),0,"5,365",carson city district is where it started
2013,GRAND,Kern County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"4,345",USFS # 000128  Kern Co #1315573
2013,HATHAWAY,San Bernardino National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),"3,870","3,780",cooking tortillas CALFIRE #058738
2013,MCCABE,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),"3,505","3,506",
2013,SUMMIT,Riverside CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),"2,956","3,166",
2013,MORGAN,Santa Clara CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),"3,100","3,108",
2013,FELIPE,San Diego CDF,California Department of Forestry and Fire Protection,Escaped Prescribed Burn,Suppression (Wildfire),"2,780","2,780",
2013,SWEDES,Butte CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),"2,462","2,462",
2013,DELUZ,Marine camp Pendleton,Department of Defense,Unknown / Unidentified,Suppression (Wildfire),0,"2,229",data from inciweb & unit electrical start
2013,FISH,Sequoia National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"2,050","2,049",
2013,WHITE,Los Padres National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),"1,984","1,912",FIMT
2013,CARSTENS,Sierra National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),"1,702","1,708",
2013,FALLS,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"1,383","1,384","CAL FIRE#002512 origin outside of perimeter, sparks of burning structure caused"
2013,GENERAL,San Diego CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),"1,271","1,271",
2013,POWER,Stanislaus National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),"1,070","1,076",
2013,PFEIFFER,Los Padres National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),917,914,Fire not declared out
2013,RANCHO,Kern County,Contract County,Smoking,Suppression (Wildfire),0,712,USFS # 002198 Kern Co # 13-23542
2013,WINDY PEAK,Sequoia - Kings Canyon NP,National Park Service,Lightning,Suppression (Wildfire),0,681,2013-CAKNP-113
2013,LAKE,Los Angeles County,Contract County,Smoking,Suppression (Wildfire),712,660,
2013,WATER,Kern County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,613,Kern Co # 13-24091
2013,DANCE,Six Rivers National Forest,USDA Forest Service,Arson,Suppression (Wildfire),577,577,
2013,KYBURZ,Eldorado National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),572,571,
2013,MILL,San Bernardino CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),534,534,Yucaipa Area- Crafton's
2013,GORGONIO,San Bernardino National Forest,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),600,510,I#CA-BDF-6873 RRU #045459
2013,BRANCH,Los Padres National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),490,490,
2013,ROLLING,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Vehicle,Suppression (Wildfire),480,482,
2013,KIRKER,Santa Clara CDF,California Department of Forestry and Fire Protection,Powerline,Suppression (Wildfire),0,478,
2013,RIVER,Sequoia National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),439,440,Countract County #1330057
2013,TENANT,Sequoia National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),379,412,
2013,RIVER,San Bernardino CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),406,407,Lone Pine Area
2013,GOBBLERS,San Bernardino National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),413,407,
2013,SHIRLEY,Sequoia National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),411,379,
2013,JURUPA,Riverside CDF,Local Response Area,Unknown / Unidentified,Suppression (Wildfire),300,362,
2013,TRES PINOS,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),354,353,Mower
2013,RIDGE/HEIGHTS,Plumas National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),415,336,HOUGH COMPLEX inc # 00001324
2013,BORDER2,San Diego CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),100,325,Perimeter is hand drawn. No access to get accurate acerage.
2013,BECKS,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Debris,Suppression (Wildfire),296,319,
2013,HIGH GLADE,Mendocino National Forest,USDA Forest Service,Equipment Use,Suppression (Wildfire),305,305,
2013,PUTAH,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),304,304,
2013,SUMMIT,Butte CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),305,268,
2013,LYON,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),263,263,167 FS acres burned
2013,HIGHLINE,CA Desert District - BLM,Bureau of Land Management,Lightning,Suppression (Wildfire),0,262,
2013,BEALE AFB GRASS VALLEY GA,Nevada - Yuba - Placer CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),254,255,
2013,SHARP,Angeles National Forest,USDA Forest Service,Arson,Suppression (Wildfire),246,245,day two
2013,SHELTON,Tuolumne - Calaveras CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),303,237,none
2013,DAVES,Mendocino National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),226,226,
2013,LONE,Butte CDF,Local Response Area,Equipment Use,Suppression (Wildfire),298,225,
2013,TASSAJARA,Los Padres National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),213,212,
2013,MADRE,Los Angeles County,Contract County,Debris,Suppression (Wildfire),207,210,USFS # 004612 called Madra
2013,306,Tehama - Glenn CDF,California Department of Forestry and Fire Protection,Debris,Suppression (Wildfire),217,208,
2013,BEE,Angeles National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),250,206,
2013,FORBIDDEN,Yosemite National Park,National Park Service,Lightning,Suppression (Wildfire),0,198,2013-CAYNP-0010 Managed Lightning Ignited
2013,FOSTER,Mendocino CDF,California Department of Forestry and Fire Protection,Debris,Suppression (Wildfire),200,187,
2013,SILVERADO_2,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),190,187,
2013,GOLD,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),183,184,
2013,WARNER 1-1,Shasta - Trinity CDF,California Department of Forestry and Fire Protection,Lightning,Suppression (Wildfire),185,182,
2013,PFE,Nevada - Yuba - Placer CDF,Local Response Area,Unknown / Unidentified,Suppression (Wildfire),164,180,
2013,ANGORA,Sequoia National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),179,179,
2013,LAKEVILLE,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),158,178,
2013,REDLANDS,Riverside CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),150,168,
2013,OTAY,San Diego CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),164,164,
2013,OLD,Santa Monica Mtns National Recreation Area,National Park Service,Vehicle,Suppression (Wildfire),0,162,2013-CASMP-765 LACO perim improved with BARC & onsite NPS data LACO #20055
2013,CRANE,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),100,159,
2013,MURPHY,Tuolumne - Calaveras CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),140,154,
2013,GOODENOUGH,Ventura County,Contract County,Powerline,Suppression (Wildfire),145,145,Ventura Co. # 13-20313
2013,MAGIC,Los Angeles County,Contract County,Equipment Use,Suppression (Wildfire),50,145,
2013,PEUTZ,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),140,139,small portion of perimeter map hand-drawn: unwalkable cliff areas
2013,CANTWELL,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Vehicle,Suppression (Wildfire),120,132,
2013,SMILEY,Riverside CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),124,127,Shooting
2013,SIERRA,San Bernardino National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),200,123,Perim. data collected by Eric Solomon
2013,GEORGE,Fresno-Kings CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),118,118,
2013,BEALE AFB BEALE,Nevada - Yuba - Placer CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),109,109,
2013,FREEMAN,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Vehicle,Suppression (Wildfire),105,105,Vehicle Exhaust
2013,RUTH HILL,Fresno-Kings CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),102,101,
2013,SALE,Tehama - Glenn CDF,Local Response Area,Playing with fire,Suppression (Wildfire),102,100,
2012,RUSH,Northern CA District - BLM,Bureau of Land Management,Lightning,Suppression (Wildfire),"315,577","315,512",
2012,CHIPS,Plumas National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),"75,431","76,350",Escaped campfire in the Chips Creek drainage ran to the NW to Lake Almanor.
2012,BAGLEY,Shasta-Trinity National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"46,011","46,040",
2012,NORTH PASS,Mendocino National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"41,983","41,813",
2012,MILL,Mendocino National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"29,052","29,526",
2012,READING,Lassen Volcanic NP,National Park Service,Unknown / Unidentified,Suppression (Wildfire),0,"28,073",GEOMAC Comments: FIMT
2012,PONDEROSA,Tehama - Glenn CDF,California Department of Forestry and Fire Protection,Lightning,Suppression (Wildfire),"27,676","27,670",
2012,GOFF,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"22,283","22,267",part of the Fort Complex
2012,SIXTEEN_COMPLEX,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),"17,944","17,942",
2012,INDIAN,Northern California District BLM,Bureau of Land Management,Lightning,Suppression (Wildfire),"12,575","12,575",
2012,JAWBONE COMPLEX,CA Desert District - BLM,Bureau of Land Management,Lightning,Suppression (Wildfire),"12,018","12,015",Alternate Inc # 000542 & 1225174
2012,WILSON,CA Desert District - BLM,Bureau of Land Management,Lightning,Suppression (Wildfire),"22,829","11,667",VALLECITO LIGHTNING COMPLEX
2012,STWEART,CA Desert District - BLM,Bureau of Land Management,Lightning,Suppression (Wildfire),"22,829","10,630",VALLECITO LIGHTNING COMPLEX
2012,LIKLEY,CA Desert District - BLM,Bureau of Land Management,Powerline,Suppression (Wildfire),"9,838","9,966",
2012,BANNER FIRE,San Diego CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),"5,132","5,320",
2012,WALKER,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),"7,934","5,103",Wye and Walker were fought together
2012,SCOTTS,Mendocino CDF,California Department of Forestry and Fire Protection,Campfire,Suppression (Wildfire),"4,618","4,509",Fire in LNU but assigned a MEU incident number
2012,SITES_COMPLEX,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),0,"4,429",
2012,STAFFORD,Shasta-Trinity National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"4,407","4,407",
2012,WILLIAMS,Angeles National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),"4,000","4,192",
2012,NELSON (W-1),Northern CA District - BLM,Bureau of Land Management,Lightning,Suppression (Wildfire),"3,661","3,659",
2012,WYE,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),"7,934","2,831",Wye and Walker were fought together
2012,BUCK,Riverside CDF,California Department of Forestry and Fire Protection,Lightning,Suppression (Wildfire),"2,681","2,637",alt Inc # 000152
2012,ROBBERS,Nevada - Yuba - Placer CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),"2,650","2,635",Fireworks
2012,SHOCKEY,San Diego CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),"2,851","2,556",
2012,TURKEY,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),"2,700","2,530",
2012,HIGHLAND,CA Desert District - BLM,Bureau of Land Management,Miscellaneous,Suppression (Wildfire),"2,177","2,177","Incindiary, CALFIRE # 59216"
2012,CHIHAUHAU 2,San Diego CDF,California Department of Forestry and Fire Protection,Lightning,Suppression (Wildfire),"1,999","2,007",
2012,FLAT,Shasta-Trinity National Forest,USDA Forest Service,Vehicle,Suppression (Wildfire),"1,688","1,720",IR heat perimeter
2012,GEORGE,Sequoia National Forest,USDA Forest Service,Arson,Suppression (Wildfire),"1,707","1,708",
2012,CASCADE,Yosemite National Park,National Park Service,Lightning,Resource Benefit (WFU),"1,705","1,705",
2012,LAKE,Modoc National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"1,666","1,665",Lake fire complex  alternate inc # 000429
2012,GAINES,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Powerline,Suppression (Wildfire),"1,700","1,662",
2012,MILL,Butte CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),"1,641","1,641",
2012,CLEAR,Kern County,Contract County,Lightning,Suppression (Wildfire),"1,783","1,452",Piute Complex Fed Inc# 2476
2012,SAND,Kern County,Contract County,Unknown / Unidentified,Suppression (Wildfire),"1,428","1,428",Alt inc # 22306
2012,SPANISH,Northern CA District - BLM,Bureau of Land Management,Unknown / Unidentified,Suppression (Wildfire),"1,169","1,151",
2012,RAMSEY,Stanislaus National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),"1,137","1,137",
2012,FISH,San Bernardino National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),"1,103","1,135",In the Big Pine area
2012,DALE,Shasta - Trinity CDF,California Department of Forestry and Fire Protection,Powerline,Suppression (Wildfire),"1,038","1,038",
2012,OLD - 2,San Diego CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),995,996,
2012,SALT CREEK,Shasta-Trinity National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),988,982,
2012,HILLSIDE FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),200,885,
2012,SEVEN,Tuolumne - Calaveras CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),830,828,
2012,BEAR,Sierra National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),835,718,
2012,PEAK,Plumas National Forest,USDA Forest Service,Debris,Suppression (Wildfire),800,709,Alt Inc #  000051
2012,HILL,Los Padres National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),689,690,
2012,ANTELOPE,Modoc National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),650,622,Alt Inc # 000521
2012,CALF,San Luis Obispo CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),640,617,
2012,FOREST,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),520,602,
2012,WARD,Shasta-Trinity National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),550,552,
2012,VALLECITO,CA Desert District - BLM,Bureau of Land Management,Lightning,Suppression (Wildfire),"22,829",519,VALLECITO LIGHTNING COMPLEX
2012,FIVE MILE FIRE,Los Angeles County,Contract County,Equipment Use,Suppression (Wildfire),525,489,
2012,PASS,Death Valley NM,National Park Service,Lightning,Suppression (Wildfire),441,441,"Part of the South Complex, No WFMI record"
2012,VISTA,Riverside CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),500,403,
2012,GULCH,Sequoia National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),385,385,KRN Co iinc#1218542 ?
2012,VIEW,CA Desert District - BLM,Bureau of Land Management,Equipment Use,Suppression (Wildfire),367,376,Wind turbine CALFIRE Inc# 59775
2012,NORTH,Mendocino CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),385,375,
2012,OZENA,Los Padres National Forest,USDA Forest Service,Arson,Suppression (Wildfire),328,361,
2012,DEVORE,San Bernardino National Forest,USDA Forest Service,Equipment Use,Suppression (Wildfire),350,334,
2012,HEALD,Sequoia National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),331,331,PIUTE COMPLEX
2012,WOODS CREEK,Sequoia - Kings Canyon NP,National Park Service,Unknown / Unidentified,Suppression (Wildfire),325,324,GEOMAC 2012 data. Commnets: WFDSS;
2012,RANGE,CA Desert District - BLM,Bureau of Land Management,Miscellaneous,Suppression (Wildfire),16,323,Shooting CAL FIRE Inc # 96791
2012,DILLON,Klamath National Forest,USDA Forest Service,Equipment Use,Suppression (Wildfire),318,318,"182 acres on SRF, 136 on KNF"
2012,TWENTY_NINE,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Powerline,Suppression (Wildfire),300,314,
2012,VOLCANO,Riverside CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),309,309,
