YEAR,FIRE NAME,UNIT,AGENCY,CAUSE,OBJECTIVE,REPORT ACRES,GIS ACRES,COMMENTS
1968,,Los Padres National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),0,"4,255",
1968,THORNBERRY #2,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"3,131",
1968,LIMEROCK FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"2,859",
1968,BUCKEYE CREEK,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"2,718",
1968,UPTON CANYON,San Luis Obispo CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"2,673",
1968,VAN VLECK,Amador - El Dorado CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"2,665",
1968,,Sierra National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),0,"2,662",
1968,RESERVOIR FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"2,454",
1968,PROCTOR,San Diego CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"2,385",
1968,MAGEE,San Diego CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),0,"2,333",
1968,LEWIS CREEK,Tulare County,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"2,052",
1968,GRANT,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,863",
1968,BROWN FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"1,799",
1968,CANYON,Yosemite National Park,National Park Service,Miscellaneous,Suppression (Wildfire),"1,840","1,690",20090305
1968,,Riverside CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,633",
1968,OGDEN (ROADSIDE #17),Riverside CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,617",
1968,,Riverside CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,553",
1968,VON DOLLEN,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,445",
1968,BURNS,Tuolumne - Calaveras CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,422",
1968,,Toiyab National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),0,"1,414",
1968,LOUIE,Klamath National Forest,USDA Forest Service,Debris,Suppression (Wildfire),0,"1,410",
1968,,San Bernardino National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,"1,349",
1968,BELCHER,Siskiyou CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,349",
1968,LOUIE,Siskiyou CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,346",
1968,PORTUGUESE CANYON,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,322",
1968,V. MORELLI,Shasta - Trinity CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,317",
1968,HARRIS SPUR,San Diego CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),0,"1,260",
1968,SWEENY HILL,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,197",
